0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.49167453;0.49167452; -0.08591915; -0.08591920; -0.20287804;0.20287804; -0.20287804;0.20287804; -0.28879726; -0.28879726; -0.28879726; -0.28879726;445
0.49254004;0.49254003; -0.08081009; -0.08081013; -0.20586531;0.20586531; -0.20586531;0.20586531; -0.28667546; -0.28667546; -0.28667546; -0.28667546;450
0.49330373;0.49330372; -0.07600924; -0.07600927; -0.20864757;0.20864757; -0.20864757;0.20864757; -0.28465686; -0.28465686; -0.28465686; -0.28465686;455
0.49397633;0.49397631; -0.07150789; -0.07150793; -0.21123453;0.21123453; -0.21123453;0.21123453; -0.28274247; -0.28274247; -0.28274247; -0.28274247;460
0.49457059;0.49457058; -0.06727505; -0.06727509; -0.21364806;0.21364806; -0.21364806;0.21364806; -0.28092317; -0.28092317; -0.28092317; -0.28092317;465
0.49509296;0.49509295; -0.06331650; -0.06331653; -0.21588851;0.21588851; -0.21588851;0.21588851; -0.27920506; -0.27920506; -0.27920506; -0.27920506;470
0.49555330;0.49555328; -0.05960671; -0.05960675; -0.21797356;0.21797356; -0.21797356;0.21797356; -0.27758033; -0.27758033; -0.27758033; -0.27758033;475
0.49595931;0.49595930; -0.05612846; -0.05612849; -0.21991568;0.21991568; -0.21991568;0.21991568; -0.27604419; -0.27604419; -0.27604419; -0.27604419;480
0.49631721;0.49631720; -0.05287040; -0.05287043; -0.22172365;0.22172365; -0.22172365;0.22172365; -0.27459410; -0.27459410; -0.27459410; -0.27459410;485
0.49663240;0.49663239; -0.04982289; -0.04982292; -0.22340499;0.22340499; -0.22340499;0.22340499; -0.27322793; -0.27322793; -0.27322793; -0.27322793;490
0.49691048;0.49691047; -0.04696860; -0.04696863; -0.22497117;0.22497117; -0.22497117;0.22497117; -0.27193981; -0.27193981; -0.27193981; -0.27193981;495
0.49715564;0.49715563; -0.04429854; -0.04429856; -0.22642877;0.22642877; -0.22642877;0.22642877; -0.27072734; -0.27072734; -0.27072734; -0.27072734;500
0.49737265;0.49737264; -0.04179163; -0.04179165; -0.22779072;0.22779072; -0.22779072;0.22779072; -0.26958239; -0.26958239; -0.26958239; -0.26958239;505
0.49756400;0.49756399; -0.03944837; -0.03944839; -0.22905801;0.22905801; -0.22905801;0.22905801; -0.26850642; -0.26850642; -0.26850642; -0.26850642;510
0.49773351;0.49773350; -0.03724879; -0.03724881; -0.23024255;0.23024255; -0.23024255;0.23024255; -0.26749138; -0.26749138; -0.26749138; -0.26749138;515
0.49788344;0.49788343; -0.03518818; -0.03518820; -0.23134781;0.23134781; -0.23134781;0.23134781; -0.26653602; -0.26653602; -0.26653602; -0.26653602;520
0.49801605;0.49801604; -0.03325887; -0.03325888; -0.23237877;0.23237877; -0.23237877;0.23237877; -0.26563766; -0.26563766; -0.26563766; -0.26563766;525
0.49813406;0.49813405; -0.03144208; -0.03144209; -0.23334616;0.23334616; -0.23334616;0.23334616; -0.26478826; -0.26478826; -0.26478826; -0.26478826;530
0.49823820;0.49823819; -0.02974632; -0.02974634; -0.23424610;0.23424610; -0.23424610;0.23424610; -0.26399245; -0.26399245; -0.26399245; -0.26399245;535
0.49833072;0.49833071; -0.02815402; -0.02815404; -0.23508850;0.23508850; -0.23508850;0.23508850; -0.26324255; -0.26324255; -0.26324255; -0.26324255;540
0.49841303;0.49841302; -0.02665735; -0.02665736; -0.23587799;0.23587799; -0.23587799;0.23587799; -0.26253536; -0.26253536; -0.26253536; -0.26253536;545
0.49848622;0.49848621; -0.02525200; -0.02525201; -0.23661725;0.23661725; -0.23661725;0.23661725; -0.26186927; -0.26186927; -0.26186927; -0.26186927;550
0.49855159;0.49855158; -0.02392682; -0.02392683; -0.23731252;0.23731252; -0.23731252;0.23731252; -0.26123936; -0.26123936; -0.26123936; -0.26123936;555
0.49860976;0.49860974; -0.02268252; -0.02268253; -0.23796375;0.23796375; -0.23796375;0.23796375; -0.26064629; -0.26064629; -0.26064629; -0.26064629;560
0.49866145;0.49866144; -0.02151626; -0.02151627; -0.23857272;0.23857272; -0.23857272;0.23857272; -0.26008900; -0.26008900; -0.26008900; -0.26008900;565
0.49870785;0.49870783; -0.02041278; -0.02041279; -0.23914765;0.23914765; -0.23914765;0.23914765; -0.25956045; -0.25956045; -0.25956045; -0.25956045;570
0.49874909;0.49874908; -0.01937904; -0.01937905; -0.23968514;0.23968514; -0.23968514;0.23968514; -0.25906420; -0.25906420; -0.25906420; -0.25906420;575
0.49878580;0.49878579; -0.01841005; -0.01841006; -0.24018799;0.24018799; -0.24018799;0.24018799; -0.25859806; -0.25859806; -0.25859806; -0.25859806;580
0.49881880;0.49881879; -0.01749342; -0.01749343; -0.24066280;0.24066280; -0.24066280;0.24066280; -0.25815623; -0.25815623; -0.25815623; -0.25815623;585
0.49884848;0.49884847; -0.01662554; -0.01662554; -0.24111157;0.24111157; -0.24111157;0.24111157; -0.25773713; -0.25773713; -0.25773713; -0.25773713;590
0.49887496;0.49887495; -0.01581116; -0.01581117; -0.24153200;0.24153200; -0.24153200;0.24153200; -0.25734318; -0.25734318; -0.25734318; -0.25734318;595
0.49889884;0.49889883; -0.01503910; -0.01503911; -0.24192996;0.24192996; -0.24192996;0.24192996; -0.25696908; -0.25696908; -0.25696908; -0.25696908;600
