0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.04178721;0.04178720;0.49737312;0.49737337;0.26958048; -0.26958048; -0.26958048;0.26958048;0.22779273;0.22779273;0.22779273;0.22779273;505
0.03944058;0.03944058;0.49756470;0.49756496;0.26850295; -0.26850295; -0.26850295;0.26850295;0.22906185;0.22906185;0.22906185;0.22906185;510
0.03724400;0.03724400;0.49773394;0.49773420;0.26748927; -0.26748927; -0.26748927;0.26748927;0.23024478;0.23024478;0.23024478;0.23024478;515
0.03518637;0.03518637;0.49788363;0.49788389;0.26653528; -0.26653528; -0.26653528;0.26653528;0.23134845;0.23134845;0.23134845;0.23134845;520
0.03325667;0.03325667;0.49801625;0.49801651;0.26563674; -0.26563674; -0.26563674;0.26563674;0.23237962;0.23237962;0.23237962;0.23237962;525
0.03144404;0.03144404;0.49813398;0.49813424;0.26478928; -0.26478928; -0.26478928;0.26478928;0.23334481;0.23334481;0.23334481;0.23334481;530
0.02975023;0.02975023;0.49823801;0.49823827;0.26399438; -0.26399438; -0.26399438;0.26399438;0.23424374;0.23424374;0.23424374;0.23424374;535
0.02815186;0.02815186;0.49833088;0.49833114;0.26324162; -0.26324162; -0.26324162;0.26324162;0.23508937;0.23508937;0.23508937;0.23508937;540
0.02665911;0.02665911;0.49841297;0.49841323;0.26253627; -0.26253627; -0.26253627;0.26253627;0.23587680;0.23587680;0.23587680;0.23587680;545
0.02524358;0.02524358;0.49848667;0.49848693;0.26186535; -0.26186535; -0.26186535;0.26186535;0.23662143;0.23662143;0.23662143;0.23662143;550
0.02393244;0.02393244;0.49855134;0.49855159;0.26124211; -0.26124211; -0.26124211;0.26124211;0.23730934;0.23730934;0.23730934;0.23730934;555
0.02268464;0.02268464;0.49860967;0.49860993;0.26064737; -0.26064737; -0.26064737;0.26064737;0.23796241;0.23796241;0.23796241;0.23796241;560
0.02151740;0.02151739;0.49866141;0.49866167;0.26008961; -0.26008961; -0.26008961;0.26008961;0.23857191;0.23857191;0.23857191;0.23857191;565
0.02041975;0.02041975;0.49870756;0.49870782;0.25956386; -0.25956386; -0.25956386;0.25956386;0.23914382;0.23914382;0.23914382;0.23914382;570
0.01937581;0.01937581;0.49874921;0.49874947;0.25906270; -0.25906270; -0.25906270;0.25906270;0.23968662;0.23968662;0.23968662;0.23968662;575
0.01840606;0.01840606;0.49878594;0.49878620;0.25859619; -0.25859619; -0.25859619;0.25859619;0.24018987;0.24018987;0.24018987;0.24018987;580
0.01748407;0.01748407;0.49881911;0.49881937;0.25815177; -0.25815177; -0.25815177;0.25815177;0.24066745;0.24066745;0.24066745;0.24066745;585
0.01662665;0.01662664;0.49884843;0.49884868;0.25773771; -0.25773771; -0.25773771;0.25773771;0.24111083;0.24111083;0.24111083;0.24111083;590
