0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.49600149;0.49600150;0.00000086;0.00000086; -0.24799946;0.24799946;0.24799946; -0.24799946;0.24800032;0.24800032;0.24800032;0.24800032;395
0.49600144;0.49600145;0.00000081;0.00000081; -0.24799951;0.24799951;0.24799951; -0.24799951;0.24800032;0.24800032;0.24800032;0.24800032;400
0.49600139;0.49600140;0.00000076;0.00000076; -0.24799956;0.24799956;0.24799956; -0.24799956;0.24800032;0.24800032;0.24800032;0.24800032;405
0.49600134;0.49600135;0.00000071;0.00000071; -0.24799960;0.24799960;0.24799960; -0.24799960;0.24800032;0.24800032;0.24800032;0.24800032;410
0.49600130;0.49600131;0.00000067;0.00000067; -0.24799965;0.24799965;0.24799965; -0.24799965;0.24800032;0.24800032;0.24800032;0.24800032;415
0.49600126;0.49600127;0.00000063;0.00000063; -0.24799968;0.24799968;0.24799968; -0.24799968;0.24800032;0.24800032;0.24800032;0.24800032;420
0.49600123;0.49600124;0.00000060;0.00000060; -0.24799972;0.24799972;0.24799972; -0.24799972;0.24800032;0.24800032;0.24800032;0.24800032;425
0.49600119;0.49600120;0.00000056;0.00000056; -0.24799975;0.24799975;0.24799975; -0.24799975;0.24800032;0.24800032;0.24800032;0.24800032;430
0.49600116;0.49600117;0.00000053;0.00000053; -0.24799979;0.24799979;0.24799979; -0.24799979;0.24800032;0.24800032;0.24800032;0.24800032;435
0.49600113;0.49600114;0.00000050;0.00000050; -0.24799982;0.24799982;0.24799982; -0.24799982;0.24800032;0.24800032;0.24800032;0.24800032;440
0.49600110;0.49600112;0.00000047;0.00000047; -0.24799984;0.24799984;0.24799984; -0.24799984;0.24800032;0.24800032;0.24800032;0.24800032;445
0.49600108;0.49600109;0.00000045;0.00000045; -0.24799987;0.24799987;0.24799987; -0.24799987;0.24800032;0.24800032;0.24800032;0.24800032;450
0.49600106;0.49600107;0.00000043;0.00000043; -0.24799989;0.24799989;0.24799989; -0.24799989;0.24800032;0.24800032;0.24800032;0.24800032;455
0.49600103;0.49600104;0.00000040;0.00000040; -0.24799992;0.24799992;0.24799992; -0.24799992;0.24800032;0.24800032;0.24800032;0.24800032;460
0.49600101;0.49600102;0.00000038;0.00000038; -0.24799994;0.24799994;0.24799994; -0.24799994;0.24800032;0.24800032;0.24800032;0.24800032;465
0.49600099;0.49600100;0.00000036;0.00000036; -0.24799996;0.24799996;0.24799996; -0.24799996;0.24800032;0.24800032;0.24800032;0.24800032;470
0.49600097;0.49600098;0.00000034;0.00000034; -0.24799997;0.24799997;0.24799997; -0.24799997;0.24800032;0.24800032;0.24800032;0.24800032;475
0.49600096;0.49600097;0.00000033;0.00000033; -0.24799999;0.24799999;0.24799999; -0.24799999;0.24800032;0.24800032;0.24800032;0.24800032;480
0.49600094;0.49600095;0.00000031;0.00000031; -0.24800001;0.24800001;0.24800001; -0.24800001;0.24800032;0.24800032;0.24800032;0.24800032;485
0.49600092;0.49600093;0.00000029;0.00000029; -0.24800002;0.24800002;0.24800002; -0.24800002;0.24800032;0.24800032;0.24800032;0.24800032;490
0.49600091;0.49600092;0.00000028;0.00000028; -0.24800004;0.24800004;0.24800004; -0.24800004;0.24800032;0.24800032;0.24800032;0.24800032;495
0.49600090;0.49600091;0.00000027;0.00000027; -0.24800005;0.24800005;0.24800005; -0.24800005;0.24800032;0.24800032;0.24800032;0.24800032;500
0.49600088;0.49600089;0.00000025;0.00000025; -0.24800006;0.24800006;0.24800006; -0.24800006;0.24800032;0.24800032;0.24800032;0.24800032;505
0.49600087;0.49600088;0.00000024;0.00000024; -0.24800008;0.24800008;0.24800008; -0.24800008;0.24800032;0.24800032;0.24800032;0.24800032;510
0.49600086;0.49600087;0.00000023;0.00000023; -0.24800009;0.24800009;0.24800009; -0.24800009;0.24800032;0.24800032;0.24800032;0.24800032;515
0.49600085;0.49600086;0.00000022;0.00000022; -0.24800010;0.24800010;0.24800010; -0.24800010;0.24800032;0.24800032;0.24800032;0.24800032;520
0.49600084;0.49600085;0.00000021;0.00000021; -0.24800011;0.24800011;0.24800011; -0.24800011;0.24800032;0.24800032;0.24800032;0.24800032;525
0.49600083;0.49600084;0.00000020;0.00000020; -0.24800012;0.24800012;0.24800012; -0.24800012;0.24800032;0.24800032;0.24800032;0.24800032;530
0.49600082;0.49600083;0.00000019;0.00000019; -0.24800013;0.24800013;0.24800013; -0.24800013;0.24800032;0.24800032;0.24800032;0.24800032;535
0.49600081;0.49600082;0.00000018;0.00000018; -0.24800014;0.24800014;0.24800014; -0.24800014;0.24800032;0.24800032;0.24800032;0.24800032;540
0.49600080;0.49600081;0.00000017;0.00000017; -0.24800014;0.24800014;0.24800014; -0.24800014;0.24800032;0.24800032;0.24800032;0.24800032;545
0.49600080;0.49600081;0.00000017;0.00000017; -0.24800015;0.24800015;0.24800015; -0.24800015;0.24800032;0.24800032;0.24800032;0.24800032;550
0.49600079;0.49600080;0.00000016;0.00000016; -0.24800016;0.24800016;0.24800016; -0.24800016;0.24800032;0.24800032;0.24800032;0.24800032;555
0.49600078;0.49600079;0.00000015;0.00000015; -0.24800017;0.24800017;0.24800017; -0.24800017;0.24800032;0.24800032;0.24800032;0.24800032;560
0.49600077;0.49600079;0.00000014;0.00000014; -0.24800017;0.24800017;0.24800017; -0.24800017;0.24800032;0.24800032;0.24800032;0.24800032;565
0.49600077;0.49600078;0.00000014;0.00000014; -0.24800018;0.24800018;0.24800018; -0.24800018;0.24800032;0.24800032;0.24800032;0.24800032;570
0.49600076;0.49600077;0.00000013;0.00000013; -0.24800019;0.24800019;0.24800019; -0.24800019;0.24800032;0.24800032;0.24800032;0.24800032;575
0.49600076;0.49600077;0.00000013;0.00000013; -0.24800019;0.24800019;0.24800019; -0.24800019;0.24800032;0.24800032;0.24800032;0.24800032;580
0.49600075;0.49600076;0.00000012;0.00000012; -0.24800020;0.24800020;0.24800020; -0.24800020;0.24800032;0.24800032;0.24800032;0.24800032;585
0.49600075;0.49600076;0.00000012;0.00000012; -0.24800020;0.24800020;0.24800020; -0.24800020;0.24800032;0.24800032;0.24800032;0.24800032;590
0.49600074;0.49600075;0.00000011;0.00000011; -0.24800021;0.24800021;0.24800021; -0.24800021;0.24800032;0.24800032;0.24800032;0.24800032;595
0.49600074;0.49600075;0.00000011;0.00000011; -0.24800021;0.24800021;0.24800021; -0.24800021;0.24800032;0.24800032;0.24800032;0.24800032;600
0.49600073;0.49600074;0.00000010;0.00000010; -0.24800021;0.24800021;0.24800021; -0.24800021;0.24800032;0.24800032;0.24800032;0.24800032;605
0.49600073;0.49600074;0.00000010;0.00000010; -0.24800022;0.24800022;0.24800022; -0.24800022;0.24800032;0.24800032;0.24800032;0.24800032;610
0.49600072;0.49600074;0.00000009;0.00000009; -0.24800022;0.24800022;0.24800022; -0.24800022;0.24800032;0.24800032;0.24800032;0.24800032;615
0.49600072;0.49600073;0.00000009;0.00000009; -0.24800023;0.24800023;0.24800023; -0.24800023;0.24800032;0.24800032;0.24800032;0.24800032;620
0.49600072;0.49600073;0.00000009;0.00000009; -0.24800023;0.24800023;0.24800023; -0.24800023;0.24800032;0.24800032;0.24800032;0.24800032;625
0.49600071;0.49600072;0.00000008;0.00000008; -0.24800023;0.24800023;0.24800023; -0.24800023;0.24800032;0.24800032;0.24800032;0.24800032;630
0.49600071;0.49600072;0.00000008;0.00000008; -0.24800024;0.24800024;0.24800024; -0.24800024;0.24800032;0.24800032;0.24800032;0.24800032;635
0.49600071;0.49600072;0.00000008;0.00000008; -0.24800024;0.24800024;0.24800024; -0.24800024;0.24800032;0.24800032;0.24800032;0.24800032;640
0.49600070;0.49600072;0.00000007;0.00000007; -0.24800024;0.24800024;0.24800024; -0.24800024;0.24800032;0.24800032;0.24800032;0.24800032;645
0.49600070;0.49600071;0.00000007;0.00000007; -0.24800025;0.24800025;0.24800025; -0.24800025;0.24800032;0.24800032;0.24800032;0.24800032;650
0.49600070;0.49600071;0.00000007;0.00000007; -0.24800025;0.24800025;0.24800025; -0.24800025;0.24800032;0.24800032;0.24800032;0.24800032;655
0.49600070;0.49600071;0.00000007;0.00000007; -0.24800025;0.24800025;0.24800025; -0.24800025;0.24800032;0.24800032;0.24800032;0.24800032;660
0.49600069;0.49600070;0.00000006;0.00000006; -0.24800025;0.24800025;0.24800025; -0.24800025;0.24800032;0.24800032;0.24800032;0.24800032;665
0.49600069;0.49600070;0.00000006;0.00000006; -0.24800026;0.24800026;0.24800026; -0.24800026;0.24800032;0.24800032;0.24800032;0.24800032;670
0.49600069;0.49600070;0.00000006;0.00000006; -0.24800026;0.24800026;0.24800026; -0.24800026;0.24800032;0.24800032;0.24800032;0.24800032;675
0.49600069;0.49600070;0.00000006;0.00000006; -0.24800026;0.24800026;0.24800026; -0.24800026;0.24800032;0.24800032;0.24800032;0.24800032;680
0.49600069;0.49600070;0.00000006;0.00000006; -0.24800026;0.24800026;0.24800026; -0.24800026;0.24800032;0.24800032;0.24800032;0.24800032;685
0.49600068;0.49600069;0.00000005;0.00000005; -0.24800026;0.24800026;0.24800026; -0.24800026;0.24800032;0.24800032;0.24800032;0.24800032;690
0.49600068;0.49600069;0.00000005;0.00000005; -0.24800027;0.24800027;0.24800027; -0.24800027;0.24800032;0.24800032;0.24800032;0.24800032;695
0.49600068;0.49600069;0.00000005;0.00000005; -0.24800027;0.24800027;0.24800027; -0.24800027;0.24800032;0.24800032;0.24800032;0.24800032;700
