a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.43134780;0.43134784;0.25036304;0.25036308;0.34085562; -0.34085562; -0.34085562;0.34085562; -0.09049258; -0.09049258; -0.09049258; -0.09049258;435
0.43506146;0.43506150;0.24385264;0.24385268;0.33945724; -0.33945724; -0.33945724;0.33945724; -0.09560460; -0.09560460; -0.09560460; -0.09560460;440
0.43872809;0.43872813;0.23719245;0.23719249;0.33796045; -0.33796045; -0.33796045;0.33796045; -0.10076800; -0.10076800; -0.10076800; -0.10076800;445
0.44236485;0.44236489;0.23033876;0.23033879;0.33635197; -0.33635197; -0.33635197;0.33635197; -0.10601322; -0.10601322; -0.10601322; -0.10601322;450
0.44591862;0.44591866;0.22338127;0.22338131;0.33465011; -0.33465011; -0.33465011;0.33465011; -0.11126883; -0.11126883; -0.11126883; -0.11126883;455
0.44941947;0.44941952;0.21625159;0.21625163;0.33283568; -0.33283568; -0.33283568;0.33283568; -0.11658409; -0.11658409; -0.11658409; -0.11658409;460
0.45278667;0.45278672;0.20910966;0.20910969;0.33094831; -0.33094831; -0.33094831;0.33094831; -0.12183865; -0.12183865; -0.12183865; -0.12183865;465
0.45605847;0.45605852;0.20187446;0.20187449;0.32896660; -0.32896660; -0.32896660;0.32896660; -0.12709214; -0.12709214; -0.12709214; -0.12709214;470
0.45920882;0.45920886;0.19460188;0.19460191;0.32690548; -0.32690548; -0.32690548;0.32690548; -0.13230360; -0.13230360; -0.13230360; -0.13230360;475
0.46218251;0.46218255;0.18742990;0.18742993;0.32480633; -0.32480633; -0.32480633;0.32480633; -0.13737643; -0.13737643; -0.13737643; -0.13737643;480
0.46504452;0.46504456;0.18021165;0.18021168;0.32262820; -0.32262820; -0.32262820;0.32262820; -0.14241655; -0.14241655; -0.14241655; -0.14241655;485
0.46773240;0.46773244;0.17311571;0.17311574;0.32042417; -0.32042417; -0.32042417;0.32042417; -0.14730845; -0.14730845; -0.14730845; -0.14730845;490
0.47027444;0.47027448;0.16608614;0.16608617;0.31818040; -0.31818040; -0.31818040;0.31818040; -0.15209425; -0.15209425; -0.15209425; -0.15209425;495
0.47265365;0.47265369;0.15918914;0.15918917;0.31592150; -0.31592150; -0.31592150;0.31592150; -0.15673235; -0.15673235; -0.15673235; -0.15673235;500
0.47487361;0.47487366;0.15243922;0.15243924;0.31365651; -0.31365651; -0.31365651;0.31365651; -0.16121729; -0.16121729; -0.16121729; -0.16121729;505
0.47692637;0.47692642;0.14589002;0.14589005;0.31140829; -0.31140829; -0.31140829;0.31140829; -0.16551826; -0.16551826; -0.16551826; -0.16551826;510
0.47885056;0.47885060;0.13944466;0.13944469;0.30914770; -0.30914770; -0.30914770;0.30914770; -0.16970303; -0.16970303; -0.16970303; -0.16970303;515
0.48061033;0.48061037;0.13325309;0.13325311;0.30693179; -0.30693179; -0.30693179;0.30693179; -0.17367870; -0.17367870; -0.17367870; -0.17367870;520
0.48223643;0.48223647;0.12724271;0.12724273;0.30473964; -0.30473964; -0.30473964;0.30473964; -0.17749694; -0.17749694; -0.17749694; -0.17749694;525
0.48372283;0.48372287;0.12146977;0.12146979;0.30259637; -0.30259637; -0.30259637;0.30259637; -0.18112660; -0.18112660; -0.18112660; -0.18112660;530
0.48509637;0.48509642;0.11586281;0.11586283;0.30047967; -0.30047967; -0.30047967;0.30047967; -0.18461685; -0.18461685; -0.18461685; -0.18461685;535
0.48635523;0.48635528;0.11045937;0.11045939;0.29840737; -0.29840737; -0.29840737;0.29840737; -0.18794800; -0.18794800; -0.18794800; -0.18794800;540
0.48749229;0.48749234;0.10532785;0.10532786;0.29641013; -0.29641013; -0.29641013;0.29641013; -0.19108229; -0.19108229; -0.19108229; -0.19108229;545
0.48853191;0.48853195;0.10039554;0.10039556;0.29446379; -0.29446379; -0.29446379;0.29446379; -0.19406825; -0.19406825; -0.19406825; -0.19406825;550
0.48948344;0.48948348;0.09564862;0.09564863;0.29256609; -0.29256609; -0.29256609;0.29256609; -0.19691747; -0.19691747; -0.19691747; -0.19691747;555
0.49034148;0.49034152;0.09114784;0.09114786;0.29074472; -0.29074472; -0.29074472;0.29074472; -0.19959687; -0.19959687; -0.19959687; -0.19959687;560
0.49111369;0.49111374;0.08689095;0.08689096;0.28900238; -0.28900238; -0.28900238;0.28900238; -0.20211143; -0.20211143; -0.20211143; -0.20211143;565
0.49182195;0.49182200;0.08278809;0.08278810;0.28730507; -0.28730507; -0.28730507;0.28730507; -0.20451698; -0.20451698; -0.20451698; -0.20451698;570
0.49245833;0.49245838;0.07891445;0.07891447;0.28568645; -0.28568645; -0.28568645;0.28568645; -0.20677199; -0.20677199; -0.20677199; -0.20677199;575
0.49303902;0.49303907;0.07520125;0.07520126;0.28412019; -0.28412019; -0.28412019;0.28412019; -0.20891893; -0.20891893; -0.20891893; -0.20891893;580
0.49358394;0.49358398;0.07153741;0.07153742;0.28256072; -0.28256072; -0.28256072;0.28256072; -0.21102331; -0.21102331; -0.21102331; -0.21102331;585
0.49405090;0.49405095;0.06823790;0.06823791;0.28114445; -0.28114445; -0.28114445;0.28114445; -0.21290655; -0.21290655; -0.21290655; -0.21290655;590
0.49447298;0.49447303;0.06510898;0.06510899;0.27979103; -0.27979103; -0.27979103;0.27979103; -0.21468204; -0.21468204; -0.21468204; -0.21468204;595
0.49486110;0.49486114;0.06209028;0.06209029;0.27847573; -0.27847573; -0.27847573;0.27847573; -0.21638545; -0.21638545; -0.21638545; -0.21638545;600
0.49521391;0.49521395;0.05921062;0.05921063;0.27721231; -0.27721231; -0.27721231;0.27721231; -0.21800168; -0.21800168; -0.21800168; -0.21800168;605
0.49553773;0.49553778;0.05643643;0.05643644;0.27598712; -0.27598712; -0.27598712;0.27598712; -0.21955069; -0.21955069; -0.21955069; -0.21955069;610
0.49582298;0.49582302;0.05387290;0.05387291;0.27484798; -0.27484798; -0.27484798;0.27484798; -0.22097508; -0.22097508; -0.22097508; -0.22097508;615
0.49608941;0.49608946;0.05136154;0.05136155;0.27372552; -0.27372552; -0.27372552;0.27372552; -0.22236397; -0.22236397; -0.22236397; -0.22236397;620
0.49632933;0.49632938;0.04898888;0.04898889;0.27265914; -0.27265914; -0.27265914;0.27265914; -0.22367026; -0.22367026; -0.22367026; -0.22367026;625
0.49653801;0.49653806;0.04682647;0.04682647;0.27168228; -0.27168228; -0.27168228;0.27168228; -0.22485581; -0.22485581; -0.22485581; -0.22485581;630
0.49673799;0.49673803;0.04465524;0.04465525;0.27069665; -0.27069665; -0.27069665;0.27069665; -0.22604141; -0.22604141; -0.22604141; -0.22604141;635
0.49691532;0.49691536;0.04263667;0.04263668;0.26977603; -0.26977603; -0.26977603;0.26977603; -0.22713935; -0.22713935; -0.22713935; -0.22713935;640
0.49707366;0.49707371;0.04074920;0.04074921;0.26891146; -0.26891146; -0.26891146;0.26891146; -0.22816226; -0.22816226; -0.22816226; -0.22816226;645
0.49721982;0.49721987;0.03892519;0.03892520;0.26807254; -0.26807254; -0.26807254;0.26807254; -0.22914735; -0.22914735; -0.22914735; -0.22914735;650
0.49734805;0.49734810;0.03725100;0.03725101;0.26729956; -0.26729956; -0.26729956;0.26729956; -0.23004855; -0.23004855; -0.23004855; -0.23004855;655
0.49746882;0.49746886;0.03560196;0.03560197;0.26653542; -0.26653542; -0.26653542;0.26653542; -0.23093346; -0.23093346; -0.23093346; -0.23093346;660
0.49757507;0.49757512;0.03408476;0.03408477;0.26582995; -0.26582995; -0.26582995;0.26582995; -0.23174518; -0.23174518; -0.23174518; -0.23174518;665
0.49767528;0.49767532;0.03258897;0.03258897;0.26513215; -0.26513215; -0.26513215;0.26513215; -0.23254318; -0.23254318; -0.23254318; -0.23254318;670
0.49776696;0.49776701;0.03115724;0.03115724;0.26446213; -0.26446213; -0.26446213;0.26446213; -0.23330489; -0.23330489; -0.23330489; -0.23330489;675
0.49784786;0.49784791;0.02983670;0.02983671;0.26384231; -0.26384231; -0.26384231;0.26384231; -0.23400561; -0.23400561; -0.23400561; -0.23400561;680
0.49792368;0.49792373;0.02854346;0.02854347;0.26323360; -0.26323360; -0.26323360;0.26323360; -0.23469014; -0.23469014; -0.23469014; -0.23469014;685
0.49799093;0.49799098;0.02734521;0.02734521;0.26266809; -0.26266809; -0.26266809;0.26266809; -0.23532289; -0.23532289; -0.23532289; -0.23532289;690
0.49805418;0.49805423;0.02616786;0.02616786;0.26211105; -0.26211105; -0.26211105;0.26211105; -0.23594319; -0.23594319; -0.23594319; -0.23594319;695
0.49810742;0.49810747;0.02513411;0.02513412;0.26162079; -0.26162079; -0.26162079;0.26162079; -0.23648668; -0.23648668; -0.23648668; -0.23648668;700
