a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.49386189;0.49386184;0.00000221;0.00000221; -0.24692762;0.24692762;0.24692762; -0.24692762;0.24692983;0.24692983;0.24692983;0.24692983;250
0.49386168;0.49386163;0.00000200;0.00000200; -0.24692783;0.24692783;0.24692783; -0.24692783;0.24692983;0.24692983;0.24692983;0.24692983;255
0.49386150;0.49386145;0.00000182;0.00000182; -0.24692801;0.24692801;0.24692801; -0.24692801;0.24692983;0.24692983;0.24692983;0.24692983;260
0.49386133;0.49386128;0.00000165;0.00000165; -0.24692817;0.24692817;0.24692817; -0.24692817;0.24692983;0.24692983;0.24692983;0.24692983;265
0.49386118;0.49386114;0.00000151;0.00000151; -0.24692832;0.24692832;0.24692832; -0.24692832;0.24692983;0.24692983;0.24692983;0.24692983;270
0.49386105;0.49386101;0.00000138;0.00000138; -0.24692845;0.24692845;0.24692845; -0.24692845;0.24692983;0.24692983;0.24692983;0.24692983;275
0.49386093;0.49386089;0.00000126;0.00000126; -0.24692857;0.24692857;0.24692857; -0.24692857;0.24692983;0.24692983;0.24692983;0.24692983;280
0.49386083;0.49386078;0.00000115;0.00000115; -0.24692867;0.24692867;0.24692867; -0.24692867;0.24692983;0.24692983;0.24692983;0.24692983;285
0.49386073;0.49386068;0.00000106;0.00000106; -0.24692877;0.24692877;0.24692877; -0.24692877;0.24692983;0.24692983;0.24692983;0.24692983;290
0.49386064;0.49386060;0.00000097;0.00000097; -0.24692885;0.24692885;0.24692885; -0.24692885;0.24692983;0.24692983;0.24692983;0.24692983;295
0.49386057;0.49386052;0.00000089;0.00000089; -0.24692893;0.24692893;0.24692893; -0.24692893;0.24692983;0.24692983;0.24692983;0.24692983;300
0.49386050;0.49386045;0.00000082;0.00000082; -0.24692900;0.24692900;0.24692900; -0.24692900;0.24692983;0.24692983;0.24692983;0.24692983;305
0.49386043;0.49386039;0.00000076;0.00000076; -0.24692907;0.24692907;0.24692907; -0.24692907;0.24692983;0.24692983;0.24692983;0.24692983;310
0.49386037;0.49386033;0.00000070;0.00000070; -0.24692912;0.24692912;0.24692912; -0.24692912;0.24692982;0.24692982;0.24692982;0.24692982;315
0.49386032;0.49386027;0.00000065;0.00000065; -0.24692918;0.24692918;0.24692918; -0.24692918;0.24692982;0.24692982;0.24692982;0.24692982;320
0.49386027;0.49386023;0.00000060;0.00000060; -0.24692922;0.24692922;0.24692922; -0.24692922;0.24692982;0.24692982;0.24692982;0.24692982;325
0.49386023;0.49386018;0.00000056;0.00000056; -0.24692927;0.24692927;0.24692927; -0.24692927;0.24692982;0.24692982;0.24692982;0.24692982;330
0.49386019;0.49386014;0.00000052;0.00000052; -0.24692931;0.24692931;0.24692931; -0.24692931;0.24692982;0.24692982;0.24692982;0.24692982;335
0.49386015;0.49386010;0.00000048;0.00000048; -0.24692935;0.24692935;0.24692935; -0.24692935;0.24692982;0.24692982;0.24692982;0.24692982;340
0.49386012;0.49386007;0.00000045;0.00000045; -0.24692938;0.24692938;0.24692938; -0.24692938;0.24692982;0.24692982;0.24692982;0.24692982;345
0.49386009;0.49386004;0.00000041;0.00000041; -0.24692941;0.24692941;0.24692941; -0.24692941;0.24692982;0.24692982;0.24692982;0.24692982;350
0.49386006;0.49386001;0.00000039;0.00000039; -0.24692944;0.24692944;0.24692944; -0.24692944;0.24692982;0.24692982;0.24692982;0.24692982;355
0.49386003;0.49385999;0.00000036;0.00000036; -0.24692946;0.24692946;0.24692946; -0.24692946;0.24692982;0.24692982;0.24692982;0.24692982;360
0.49386001;0.49385996;0.00000034;0.00000034; -0.24692949;0.24692949;0.24692949; -0.24692949;0.24692982;0.24692982;0.24692982;0.24692982;365
0.49385999;0.49385994;0.00000031;0.00000031; -0.24692951;0.24692951;0.24692951; -0.24692951;0.24692982;0.24692982;0.24692982;0.24692982;370
0.49385997;0.49385992;0.00000029;0.00000029; -0.24692953;0.24692953;0.24692953; -0.24692953;0.24692982;0.24692982;0.24692982;0.24692982;375
0.49385995;0.49385990;0.00000028;0.00000028; -0.24692955;0.24692955;0.24692955; -0.24692955;0.24692982;0.24692982;0.24692982;0.24692982;380
0.49385993;0.49385988;0.00000026;0.00000026; -0.24692957;0.24692957;0.24692957; -0.24692957;0.24692982;0.24692982;0.24692982;0.24692982;385
0.49385991;0.49385987;0.00000024;0.00000024; -0.24692958;0.24692958;0.24692958; -0.24692958;0.24692982;0.24692982;0.24692982;0.24692982;390
0.49385990;0.49385985;0.00000023;0.00000023; -0.24692960;0.24692960;0.24692960; -0.24692960;0.24692982;0.24692982;0.24692982;0.24692982;395
0.49385988;0.49385984;0.00000021;0.00000021; -0.24692961;0.24692961;0.24692961; -0.24692961;0.24692982;0.24692982;0.24692982;0.24692982;400
0.49385987;0.49385982;0.00000020;0.00000020; -0.24692962;0.24692962;0.24692962; -0.24692962;0.24692982;0.24692982;0.24692982;0.24692982;405
0.49385986;0.49385981;0.00000019;0.00000019; -0.24692964;0.24692964;0.24692964; -0.24692964;0.24692982;0.24692982;0.24692982;0.24692982;410
0.49385985;0.49385980;0.00000018;0.00000018; -0.24692965;0.24692965;0.24692965; -0.24692965;0.24692982;0.24692982;0.24692982;0.24692982;415
0.49385984;0.49385979;0.00000017;0.00000017; -0.24692966;0.24692966;0.24692966; -0.24692966;0.24692982;0.24692982;0.24692982;0.24692982;420
0.49385983;0.49385978;0.00000016;0.00000016; -0.24692967;0.24692967;0.24692967; -0.24692967;0.24692982;0.24692982;0.24692982;0.24692982;425
0.49385982;0.49385977;0.00000015;0.00000015; -0.24692967;0.24692967;0.24692967; -0.24692967;0.24692982;0.24692982;0.24692982;0.24692982;430
0.49385981;0.49385976;0.00000014;0.00000014; -0.24692968;0.24692968;0.24692968; -0.24692968;0.24692982;0.24692982;0.24692982;0.24692982;435
0.49385980;0.49385976;0.00000013;0.00000013; -0.24692969;0.24692969;0.24692969; -0.24692969;0.24692982;0.24692982;0.24692982;0.24692982;440
0.49385980;0.49385975;0.00000013;0.00000013; -0.24692970;0.24692970;0.24692970; -0.24692970;0.24692982;0.24692982;0.24692982;0.24692982;445
0.49385979;0.49385974;0.00000012;0.00000012; -0.24692970;0.24692970;0.24692970; -0.24692970;0.24692982;0.24692982;0.24692982;0.24692982;450
0.49385978;0.49385974;0.00000011;0.00000011; -0.24692971;0.24692971;0.24692971; -0.24692971;0.24692982;0.24692982;0.24692982;0.24692982;455
0.49385978;0.49385973;0.00000011;0.00000011; -0.24692972;0.24692972;0.24692972; -0.24692972;0.24692982;0.24692982;0.24692982;0.24692982;460
0.49385977;0.49385972;0.00000010;0.00000010; -0.24692972;0.24692972;0.24692972; -0.24692972;0.24692982;0.24692982;0.24692982;0.24692982;465
0.49385977;0.49385972;0.00000010;0.00000010; -0.24692973;0.24692973;0.24692973; -0.24692973;0.24692982;0.24692982;0.24692982;0.24692982;470
0.49385976;0.49385971;0.00000009;0.00000009; -0.24692973;0.24692973;0.24692973; -0.24692973;0.24692982;0.24692982;0.24692982;0.24692982;475
0.49385976;0.49385971;0.00000009;0.00000009; -0.24692974;0.24692974;0.24692974; -0.24692974;0.24692982;0.24692982;0.24692982;0.24692982;480
0.49385975;0.49385971;0.00000008;0.00000008; -0.24692974;0.24692974;0.24692974; -0.24692974;0.24692982;0.24692982;0.24692982;0.24692982;485
0.49385975;0.49385970;0.00000008;0.00000008; -0.24692975;0.24692975;0.24692975; -0.24692975;0.24692982;0.24692982;0.24692982;0.24692982;490
0.49385974;0.49385970;0.00000007;0.00000007; -0.24692975;0.24692975;0.24692975; -0.24692975;0.24692982;0.24692982;0.24692982;0.24692982;495
0.49385974;0.49385969;0.00000007;0.00000007; -0.24692975;0.24692975;0.24692975; -0.24692975;0.24692982;0.24692982;0.24692982;0.24692982;500
0.49385974;0.49385969;0.00000007;0.00000007; -0.24692976;0.24692976;0.24692976; -0.24692976;0.24692982;0.24692982;0.24692982;0.24692982;505
0.49385973;0.49385969;0.00000006;0.00000006; -0.24692976;0.24692976;0.24692976; -0.24692976;0.24692982;0.24692982;0.24692982;0.24692982;510
0.49385973;0.49385968;0.00000006;0.00000006; -0.24692976;0.24692976;0.24692976; -0.24692976;0.24692982;0.24692982;0.24692982;0.24692982;515
0.49385973;0.49385968;0.00000006;0.00000006; -0.24692977;0.24692977;0.24692977; -0.24692977;0.24692982;0.24692982;0.24692982;0.24692982;520
0.49385972;0.49385968;0.00000005;0.00000005; -0.24692977;0.24692977;0.24692977; -0.24692977;0.24692982;0.24692982;0.24692982;0.24692982;525
0.49385972;0.49385968;0.00000005;0.00000005; -0.24692977;0.24692977;0.24692977; -0.24692977;0.24692982;0.24692982;0.24692982;0.24692982;530
0.49385972;0.49385967;0.00000005;0.00000005; -0.24692977;0.24692977;0.24692977; -0.24692977;0.24692982;0.24692982;0.24692982;0.24692982;535
0.49385972;0.49385967;0.00000005;0.00000005; -0.24692978;0.24692978;0.24692978; -0.24692978;0.24692982;0.24692982;0.24692982;0.24692982;540
0.49385972;0.49385967;0.00000005;0.00000005; -0.24692978;0.24692978;0.24692978; -0.24692978;0.24692982;0.24692982;0.24692982;0.24692982;545
0.49385971;0.49385967;0.00000004;0.00000004; -0.24692978;0.24692978;0.24692978; -0.24692978;0.24692982;0.24692982;0.24692982;0.24692982;550
0.49385971;0.49385966;0.00000004;0.00000004; -0.24692978;0.24692978;0.24692978; -0.24692978;0.24692982;0.24692982;0.24692982;0.24692982;555
0.49385971;0.49385966;0.00000004;0.00000004; -0.24692978;0.24692978;0.24692978; -0.24692978;0.24692982;0.24692982;0.24692982;0.24692982;560
0.49385971;0.49385966;0.00000004;0.00000004; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;565
0.49385971;0.49385966;0.00000004;0.00000004; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;570
0.49385970;0.49385966;0.00000003;0.00000003; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;575
0.49385970;0.49385966;0.00000003;0.00000003; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;580
0.49385970;0.49385966;0.00000003;0.00000003; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;585
0.49385970;0.49385965;0.00000003;0.00000003; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;590
0.49385970;0.49385965;0.00000003;0.00000003; -0.24692979;0.24692979;0.24692979; -0.24692979;0.24692982;0.24692982;0.24692982;0.24692982;595
0.49385970;0.49385965;0.00000003;0.00000003; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;600
0.49385970;0.49385965;0.00000003;0.00000003; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;605
0.49385970;0.49385965;0.00000003;0.00000003; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;610
0.49385969;0.49385965;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;615
0.49385969;0.49385965;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;620
0.49385969;0.49385965;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;625
0.49385969;0.49385965;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;630
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;635
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;640
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;645
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692980;0.24692980;0.24692980; -0.24692980;0.24692982;0.24692982;0.24692982;0.24692982;650
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;655
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;660
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;665
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;670
0.49385969;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;675
0.49385968;0.49385964;0.00000002;0.00000002; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;680
0.49385968;0.49385964;0.00000001;0.00000001; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;685
0.49385968;0.49385964;0.00000001;0.00000001; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;690
0.49385968;0.49385964;0.00000001;0.00000001; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;695
0.49385968;0.49385964;0.00000001;0.00000001; -0.24692981;0.24692981;0.24692981; -0.24692981;0.24692982;0.24692982;0.24692982;0.24692982;700
