a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.00000004; -0.00000004;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;445
0.00000004; -0.00000004;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;450
0.00000004; -0.00000004;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;455
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;460
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;465
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;470
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;475
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;480
0.00000003; -0.00000003;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;485
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;490
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;495
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;500
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;505
0.00000002; -0.00000002;0.69548487; -0.69548487; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;510
