0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;Z
 -0.00000001; -0.00000001;0.48562706;0.48562691; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;385
 -0.00000001; -0.00000001;0.48562706;0.48562691; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;390
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;395
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;400
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;405
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;410
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;415
 -0.00000001; -0.00000001;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;420
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;425
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;430
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;435
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;440
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;445
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;450
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;455
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;460
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;465
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;470
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;475
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;480
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;485
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;490
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;495
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;500
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;505
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;510
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;515
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;520
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;525
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;530
 -0.00000000; -0.00000000;0.48562706;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;535
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;540
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;545
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;550
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;555
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;560
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;565
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;570
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;575
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;580
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;585
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;590
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;595
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;600
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;605
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;610
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;615
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;620
 -0.00000000; -0.00000000;0.48562707;0.48562692; -0.24281350;0.24281350;0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350; -0.24281350;625
