a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 2 0 a a a 0;0 2 2 a 0 a a a;a a a 0 a 2 2 0;0 a a a 0 2 2 a;Z
0.34774241; -0.34774241; -0.34774243;0.34774243; -0.34774243;0.34774247;0.34774243; -0.34774247;480
0.34774241; -0.34774241; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;485
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;490
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;495
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;500
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;505
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;510
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;515
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;520
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;525
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774247;0.34774242; -0.34774247;530
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;535
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;540
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;545
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;550
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;555
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;560
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;565
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;570
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;575
0.34774242; -0.34774242; -0.34774243;0.34774243; -0.34774242;0.34774246;0.34774242; -0.34774246;580
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;585
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;590
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;595
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;600
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;605
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774242;0.34774246;0.34774242; -0.34774246;610
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;615
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;620
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;625
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;630
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;635
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;640
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;645
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;650
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;655
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;660
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;665
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;670
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;675
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;680
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;685
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;690
0.34774242; -0.34774242; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;695
0.34774243; -0.34774243; -0.34774244;0.34774244; -0.34774241;0.34774246;0.34774241; -0.34774246;700
