a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;a a a 0 0 2 2 a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;385
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;390
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;395
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;400
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;405
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;410
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;415
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;420
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;425
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;430
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;435
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;440
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;445
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;450
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;455
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;460
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;465
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;470
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;475
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;480
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;485
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;490
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;495
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;500
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;505
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;510
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;515
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;520
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;525
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;530
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;535
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;540
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;545
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;550
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;555
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;560
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;565
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;570
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;575
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;580
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;585
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;590
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;595
 -0.34495845;0.34495845; -0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;600
